-80,-24,2,-2864,2229,-27888,
-78,-7,6,-1842,1008,-19839,
-56,-5,1,1278,-576,-9512,
-46,-2,-3,3638,-1184,-3273,
-75,-11,0,-3465,695,18508,
-75,-11,0,-3465,695,18508,
-86,-15,2,-2853,739,21300,
-101,-18,9,3272,-27,26609,
-101,-11,8,5973,-1330,30156,
-101,-5,2,4528,-1788,31062,
-97,-24,1,-4519,-2866,27681,
-97,-24,1,-4519,-2866,27681,
-92,-27,0,-3884,-3167,26735,
-75,-26,-2,-2001,-3198,23714,
-43,-61,-3,-855,-2000,10400,
-43,-61,-3,-855,-2000,10400,
-33,-41,-2,-266,-1284,62,
-20,-39,-4,863,255,-11124,
-52,-13,-8,2997,3352,-15433,
-98,-34,-8,252,6046,-21612,
-128,-23,1,1028,4481,-22654,
-84,-9,4,-6982,5276,-27318,
-84,-9,4,-6982,5276,-27318,
-80,-18,2,-1335,427,-24440,
-74,-15,5,1504,792,-17929,
-76,1,0,4511,-426,-15145,
-58,7,0,2858,-3652,-8963,
-49,-5,-4,3939,-3091,-256,
-51,0,-6,6686,-2198,4723,
-64,-6,-2,2368,-992,12476,
-81,-14,1,-1363,-368,19903,
-89,-15,5,19,-1891,25324,
,
-89,-15,5,19,-1891,25324,
-79,-18,0,430,-2065,23111,
-67,-20,-2,-269,-2165,20324,
-66,-54,-27,-4140,-2798,11838,
-40,-42,1,1785,655,-2012,
-26,-45,-1,2660,2624,-12337,
-56,5,-2,8334,2410,-15396,
-61,-8,1,4221,747,-18102,
-119,-25,4,-857,2714,-23919,
-119,-25,4,-857,2714,-23919,
-110,-17,6,-2215,2831,-24097,
-74,-19,2,-4527,2562,-24220,
-72,-17,2,-2641,1545,-24090,
-73,-5,1,545,-531,-18346,
-73,-5,1,545,-531,-18346,
-69,-4,-1,798,-834,-15382,
-53,-3,-3,1137,-503,-4845,
-53,-3,-3,1137,-503,-4845,
-49,-1,-4,1300,-147,1485,
-53,-4,-5,-59,459,8828,
-53,-4,-5,-59,459,8828,
-66,-6,-1,480,1269,13703,
-87,-8,3,3294,1820,22257,
-93,-5,3,3709,1590,27155,
-97,-8,1,1192,806,29978,
-96,-15,-2,-3225,-1250,29987,
-89,-25,-3,-4740,-2142,26981,
-46,-127,1,-18697,-5313,603,
-69,-11,-23,8436,97,2425,
-38,4,-7,6041,448,-6368,
-39,-8,-5,3805,-169,-10977,
-87,-21,-5,1383,2808,-19669,
-88,-19,-3,-2800,2563,-23222,
-83,-22,-3,-2678,2060,-23632,
-83,-22,-3,-2678,2060,-23632,
-77,-13,0,-3051,1294,-22653,
-60,-5,0,-1328,195,-10511,
-60,-5,0,-1328,195,-10511,
-60,-5,0,-1328,195,-10511,
-56,-3,0,-503,-26,-7312,
-49,-1,-1,385,-453,-1436,
-48,-2,-2,850,-613,1192,
-62,-7,-2,2318,-550,11450,
-62,-7,-2,2318,-550,11450,
-77,-14,0,3133,-626,19718,
-77,-14,0,3133,-626,19718,
-83,-19,1,1442,-630,23485,
-79,-22,-3,-2321,-2762,23858,
-79,-22,-3,-2321,-2762,23858,
-70,-23,-1,-1703,-3420,20031,
-34,-128,25,-19434,-832,-1873,
-38,-27,6,18490,-58,2765,
-75,-3,-3,1513,1333,-14199,
-75,-3,-3,1513,1333,-14199,
-87,-21,5,-4564,2097,-21738,
-87,-21,5,-4564,2097,-21738,
-81,-26,3,-5847,2750,-22796,
-77,-16,2,-898,2504,-22546,
-77,-10,2,-856,1491,-20861,
-71,-7,2,-3706,328,-15273,
-71,-7,2,-3706,328,-15273,
-61,-11,1,-2604,-531,-9950,
-54,-2,0,1086,-685,-2099,
-52,-5,-1,1553,-951,2547,
-64,-7,0,3315,-425,9510,
-64,-7,0,3315,-425,9510,
-73,-6,6,5685,-474,15088,
-78,-7,3,7446,-221,21880,
-78,-7,3,7446,-221,21880,
-86,-4,0,5631,23,24358,
-90,-2,0,3657,-178,25432,
-17,-128,34,-29121,-1215,2680,
-17,-128,34,-29121,-1215,2680,
-43,-32,-2,10283,1283,7696,
-44,-18,-6,5952,668,-6807,
-49,-5,3,5742,-1651,-11533,
-80,-14,-2,192,1328,-18020,
-97,-24,4,-3861,2684,-20626,
-90,-26,5,-4429,3259,-21743,
-85,-24,2,-3312,3520,-22064,
-78,-17,2,-2773,2954,-22779,
-75,-12,6,-4514,1955,-21992,
-65,-10,2,-1999,924,-13326,
-65,-10,2,-1999,924,-13326,
-51,0,0,1558,0,-1575,
-56,-6,-1,-196,-197,8223,
-61,-8,-1,-302,-90,10737,
-79,-13,3,3246,453,21386,
-88,-16,-3,-135,-1907,25405,
-88,-16,-3,-135,-1907,25405,
-88,-16,-3,-135,-1907,25405,
-88,-16,-3,-135,-1907,25405,
-87,-18,-3,-2912,-2089,23992,
-71,-22,2,-1793,-1489,18097,
-71,-22,2,-1793,-1489,18097,
-33,-51,5,12114,1964,2714,
-33,-51,5,12114,1964,2714,
-60,36,-13,18412,2625,230,
-45,-26,-3,-2013,61,-7519,
-53,-29,-5,2144,330,-9361,
-67,-23,-5,-242,2906,-13267,
-81,-23,-1,-889,1793,-17126,
-82,-30,-1,-2190,2529,-21182,
-82,-30,-1,-2190,2529,-21182,
-82,-21,1,-25,2188,-22960,
-84,-13,4,-743,1418,-22209,
-78,-11,2,-742,626,-19305,
-64,-6,-1,2144,-1474,-12834,
-64,-6,-1,2144,-1474,-12834,
-56,-3,-3,1656,-1478,-7412,
-51,-1,-4,1149,-1238,334,
-51,-2,-5,732,-1011,2763,
-68,-9,-3,6,184,12321,
-74,-10,0,684,283,14802,
-81,-14,4,3014,194,19747,
-87,-5,1,3462,-439,25312,
-87,-5,1,3462,-439,25312,
-86,-16,-4,-4369,-659,24419,
-86,-16,-4,-4369,-659,24419,
-78,-21,-2,-5845,-1312,21618,
-69,-74,-31,-16604,-4227,2899,
-57,-6,-10,16885,1938,2875,
-48,-16,-7,7844,749,-6338,
-55,-1,-1,8414,-1199,-12230,
-92,-23,0,-2972,1007,-18619,
-91,-29,4,-3211,1938,-21619,
-78,-24,0,-2855,2586,-23632,
-78,-24,0,-2855,2586,-23632,
-78,-19,1,-1626,1845,-24557,
-79,-15,2,-1916,1459,-24448,
-64,-11,-1,-3240,-27,-14024,
-64,-11,-1,-3240,-27,-14024,
-55,-7,-1,-456,338,-8120,
-50,2,-5,-581,314,-1957,
-49,0,-5,-1545,164,532,
-54,-7,-5,-1431,245,7923,
-54,-7,-5,-1431,245,7923,
-65,-10,-4,67,311,13128,
-79,-13,-1,808,208,18226,
-85,-14,0,1927,338,20651,
-92,-9,-1,3799,-363,27144,
-92,-9,-1,3799,-363,27144,
-89,-10,-4,-990,-1478,27182,
-19,-110,36,-9728,358,5690,

-19,-110,36,-9728,358,5690,
-46,0,-11,10482,1039,-7216,

-46,0,-11,10482,1039,-7216,
-78,-36,-4,-1567,1454,-18680,
-78,-36,-4,-1567,1454,-18680,
-89,-24,-3,-69,1930,-19734,
-86,-32,0,-4356,1663,-24423,
-86,-32,0,-4356,1663,-24423,
-83,-33,1,-3910,2155,-25097,
-82,-8,3,278,296,-24340,
-82,-8,3,278,296,-24340,
-81,-7,2,-756,-75,-22607,
-55,-2,-3,1693,-370,-7202,
-47,-1,-6,-1461,271,4020,
-47,-1,-6,-1461,271,4020,
-50,-3,-5,-2308,634,6645,
-57,-9,-3,-2536,703,11591,
-80,-15,0,1109,476,18986,
-89,-15,2,4565,526,23935,
-91,-11,-1,433,-915,27634,
-89,-18,-3,-5174,-2123,25547,
-76,-23,1,-4240,-2909,21919,
-16,-106,32,-9655,1036,7628,
-43,-21,-9,5231,653,-9288,
-48,-16,0,6847,224,-10217,
-96,-11,-2,426,855,-18807,
-96,-11,-2,426,855,-18807,
-99,-19,0,-2837,1084,-20829,
-79,-28,2,-5683,1504,-24082,
-76,-28,0,-4078,1514,-24328,
-76,-20,0,-1358,684,-24812,
-79,-6,1,-1429,127,-21027,
-79,-6,1,-1429,127,-21027,
-67,-8,-5,-2412,-716,-15880,
-53,-7,-1,1219,67,-6039,
-48,3,-5,1409,-145,-58,
-51,-6,-6,-345,-171,7511,
-60,-9,-5,-6,310,12615,
-80,-17,-1,394,255,20254,
-87,-19,0,3369,215,23701,
-89,-14,0,3725,-200,26551,
-89,-14,0,814,-726,26745,
-82,-18,-2,-1764,-1846,23922,
-82,-18,-2,-1764,-1846,23922,
-72,-20,0,-1901,-2336,19925,
-69,0,-21,-10245,-2290,10434,
-62,31,-22,5298,-263,-980,
-62,31,-22,5298,-263,-980,
-37,-48,2,-9887,-489,-8750,
-56,-17,-2,-132,-901,-13495,
-56,-17,-2,-132,-901,-13495,
-83,-30,-8,-496,2387,-16524,
-87,-23,0,-1421,1478,-21101,
-80,-36,-2,-3449,1603,-23409,
